vs_link,vs_name,vs_id,ftm_name,ftm_id
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california,national womens political caucus california,2993,National Womens Political Caucus Of California Pac,1950675
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california,national womens political caucus california,2993,National Womens Political Caucus Of California Pac Nwpc,43486184
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california,national womens political caucus california,2993,National Womens Political Caucus Of California Pac Nwpcca,49311070
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california,national womens political caucus california,2993,National Womens Political Caucus Of California Pac Small Contributor Committee,46525819
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california,national womens political caucus california,2993,National Womens Political Caucus-California Caucus,46525515
AR;https://justfacts.votesmart.org/interest-group/836/arkansas-rifle-and-pistol-association,arkansas rifle and pistol association,836,TimeoutException,TimeoutException
CA;https://justfacts.votesmart.org/interest-group/2268/california-teachers-association,california teachers association,2268,California Teachers Association,20205
CA;https://justfacts.votesmart.org/interest-group/1004/naral-pro-choice-california,naral pro choice california,1004,Naral Pro Choice California,1801
AR;https://justfacts.votesmart.org/interest-group/274/american-family-association-of-arkansas,american family association of arkansas,274,TimeoutException,TimeoutException
AR;https://justfacts.votesmart.org/interest-group/298/national-rifle-association-political-victory-fund,national rifle association political victory fund,298,TimeoutException,TimeoutException
CA;https://justfacts.votesmart.org/interest-group/1019/california-chamber-of-commerce,california chamber of commerce,1019,California Chamber Of Commerce,17299
CA;https://justfacts.votesmart.org/interest-group/1019/california-chamber-of-commerce,california chamber of commerce,1019,California Chamber Of Commerce,48004153
CA;https://justfacts.votesmart.org/interest-group/2445/democrats-for-israel-los-angeles,democrats for israel los angeles,2445,Democrats For Israel Los Angeles State,53403692
CA;https://justfacts.votesmart.org/interest-group/2445/democrats-for-israel-los-angeles,democrats for israel los angeles,2445,Democrats For Israel- Los Angeles,55392448
CA;https://justfacts.votesmart.org/interest-group/2522/university-of-california-student-association,university of california student association,2522,University Of California Student Association,24357381
