vs_link,vs_name,vs_id,ftm_name,ftm_id 
WI;https://justfacts.votesmart.org/interest-group/81/wisconsin-education-association-council,wisconsin education association council,81,Wisconsin Education Association Council 10,40619709
WI;https://justfacts.votesmart.org/interest-group/81/wisconsin-education-association-council,wisconsin education association council,81,Wisconsin Education Association Council Political,44178300
WI;https://justfacts.votesmart.org/interest-group/81/wisconsin-education-association-council,wisconsin education association council,81,Wisconsin Education Association Council Region 1,37348783
WI;https://justfacts.votesmart.org/interest-group/81/wisconsin-education-association-council,wisconsin education association council,81,Wisconsin Education Association Council Region 3,39816217
WI;https://justfacts.votesmart.org/interest-group/81/wisconsin-education-association-council,wisconsin education association council,81,Wisconsin Education Association Council Region 5,29014787
WI;https://justfacts.votesmart.org/interest-group/81/wisconsin-education-association-council,wisconsin education association council,81,Wisconsin Education Association Council Region 6,20272
WI;https://justfacts.votesmart.org/interest-group/81/wisconsin-education-association-council,wisconsin education association council,81,Wisconsin Education Association Council Region 7,37348788
WI;https://justfacts.votesmart.org/interest-group/352/wisconsin-gun-owners,wisconsin gun owners,352,Wisconsin Gun Owners,16614949
WI;https://justfacts.votesmart.org/interest-group/1253/wisconsin-medical-society,wisconsin medical society,1253,Wisconsin Medical Society,9532
WI;https://justfacts.votesmart.org/interest-group/1926/wisconsin-voters-for-companion-animals,wisconsin voters for companion animals,1926,TimeoutException,TimeoutException
WY;https://justfacts.votesmart.org/interest-group/2398/right-to-life-of-wyoming,right to life of wyoming,2398,Right To Life Of Wyoming,10188289
WY;https://justfacts.votesmart.org/interest-group/1229/wyoming-outdoor-council,wyoming outdoor council,1229,Wyoming Outdoor Council,27653074
WY;https://justfacts.votesmart.org/interest-group/2399/wyoming-family-coalition,wyoming family coalition,2399,Wyoming Family Coalition,10151955
WY;https://justfacts.votesmart.org/interest-group/174/prevent-child-abuse-wyoming,prevent child abuse wyoming,174,Prevent Child Abuse Wyoming,27653197
NA;https://justfacts.votesmart.org/interest-group/2963/inlandboatmens-union-of-the-pacific,inlandboatmens union of the pacific,2963,Inlandboatmens Union Of The Pacific,2598528
NA;https://justfacts.votesmart.org/interest-group/2963/inlandboatmens-union-of-the-pacific,inlandboatmens union of the pacific,2963,Inlandboatmens Union Of The Pacific,9591993
NA;https://justfacts.votesmart.org/interest-group/3084/interior-systems-local-352,interior systems local 352,3084,Interior Systems Local 352,46113409
WI;https://justfacts.votesmart.org/interest-group/688/the-wisconsin-prosperity-project,the wisconsin prosperity project,688,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2361/independence-hall-tea-party-pac,independence hall tea party pac,2361,Independence Hall Tea Party Pac,16744700
WI;https://justfacts.votesmart.org/interest-group/1621/wisconsin-manufacturers-and-commerce,wisconsin manufacturers and commerce,1621,TimeoutException,TimeoutException
WI;https://justfacts.votesmart.org/interest-group/600/national-federation-of-independent-business-wisconsin,national federation of independent business wisconsin,600,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2060/western-organization-of-resource-councils,western organization of resource councils,2060,Western Organization Of Resource Councils,10931214
NA;https://justfacts.votesmart.org/interest-group/2060/western-organization-of-resource-councils,western organization of resource councils,2060,Western Organization Of Resource Councils,27617867
NA;https://justfacts.votesmart.org/interest-group/2060/western-organization-of-resource-councils,western organization of resource councils,2060,Western Organization Of Resource Councils,39485889
NA;https://justfacts.votesmart.org/interest-group/3292/elect-educators-everywhere,elect educators everywhere,3292,Elect Educators Everywhere,51886225
WI;https://justfacts.votesmart.org/interest-group/2091/greater-green-bay-area-chamber-of-commerce,greater green bay area chamber of commerce,2091,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/109/defenders-of-wildlife-action-fund,defenders of wildlife action fund,109,Defenders Of Wildlife Action Fund 527 Account,44113955
NA;https://justfacts.votesmart.org/interest-group/2505/congressional-black-caucus-pac,congressional black caucus pac,2505,Congressional Black Caucus Pac Cbc,42481224
WY;https://justfacts.votesmart.org/interest-group/687/wyoming-prosperity-project,wyoming prosperity project,687,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2532/aapi-victory-fund,aapi victory fund,2532,Aapi Victory Fund,40813066
NA;https://justfacts.votesmart.org/interest-group/2532/aapi-victory-fund,aapi victory fund,2532,Aapi Victory Fund,43842514
NA;https://justfacts.votesmart.org/interest-group/1925/independence-caucus,independence caucus,1925,Independence Caucus,200866
NA;https://justfacts.votesmart.org/interest-group/1702/american-wind-energy-association,american wind energy association,1702,American Wind Energy Association,9985
NA;https://justfacts.votesmart.org/interest-group/1695/international-warehouse-logistics-association,international warehouse logistics association,1695,International Warehouse Logistics Association,18927420
NA;https://justfacts.votesmart.org/interest-group/1695/international-warehouse-logistics-association,international warehouse logistics association,1695,International Warehouse Logistics Association,42876594
NA;https://justfacts.votesmart.org/interest-group/1695/international-warehouse-logistics-association,international warehouse logistics association,1695,International Warehouse Logistics Association,49404256
NA;https://justfacts.votesmart.org/interest-group/3127/moms-in-office,moms in office,3127,Moms In Office,49836453
NA;https://justfacts.votesmart.org/interest-group/1927/libertyslate,libertyslate,1927,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2509/votevets,votevets,2509,Votevets,230352
NA;https://justfacts.votesmart.org/interest-group/2509/votevets,votevets,2509,Votevets,55496026
NA;https://justfacts.votesmart.org/interest-group/1467/christian-coalition-of-america,christian coalition of america,1467,Christian Coalition Of America,11250185
NA;https://justfacts.votesmart.org/interest-group/1467/christian-coalition-of-america,christian coalition of america,1467,Christian Coalition Of America,39503352
NA;https://justfacts.votesmart.org/interest-group/1467/christian-coalition-of-america,christian coalition of america,1467,Christian Coalition Of America,41698481
NA;https://justfacts.votesmart.org/interest-group/1467/christian-coalition-of-america,christian coalition of america,1467,Christian Coalition Of America,54916994
NA;https://justfacts.votesmart.org/interest-group/1909/veterans-and-military-families-for-progress,veterans and military families for progress,1909,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/1456/american-veterans,american veterans,1456,American Veterans,39503936
NA;https://justfacts.votesmart.org/interest-group/1456/american-veterans,american veterans,1456,American Veterans,44766079
NA;https://justfacts.votesmart.org/interest-group/1716/partnership-for-america,partnership for america,1716,Partnership For America,18928741
NA;https://justfacts.votesmart.org/interest-group/1716/partnership-for-america,partnership for america,1716,Partnership For America,27715478
NA;https://justfacts.votesmart.org/interest-group/1716/partnership-for-america,partnership for america,1716,Partnership For America,41691828
NA;https://justfacts.votesmart.org/interest-group/1751/church-world-service,church world service,1751,Church World Service,44627266
NA;https://justfacts.votesmart.org/interest-group/1751/church-world-service,church world service,1751,Church World Service,53846223
NA;https://justfacts.votesmart.org/interest-group/1751/church-world-service,church world service,1751,Church World Service,54822664
NA;https://justfacts.votesmart.org/interest-group/1713/st-joseph-health-system,st joseph health system,1713,St Joseph Health System,10655231
NA;https://justfacts.votesmart.org/interest-group/1713/st-joseph-health-system,st joseph health system,1713,St Joseph Health System,24576771
NA;https://justfacts.votesmart.org/interest-group/1713/st-joseph-health-system,st joseph health system,1713,St Joseph Health System,32041355
NA;https://justfacts.votesmart.org/interest-group/1713/st-joseph-health-system,st joseph health system,1713,St Joseph Health System,380339
NA;https://justfacts.votesmart.org/interest-group/671/the-woman-activist,the woman activist,671,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2297/national-association-of-realtors,national association of realtors,2297,National Association Of Realtors,1823
NA;https://justfacts.votesmart.org/interest-group/2297/national-association-of-realtors,national association of realtors,2297,National Association Of Realtors,55400104
NA;https://justfacts.votesmart.org/interest-group/2221/j-street-pac,j street pac,2221,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2863/national-cannabis-industry-association,national cannabis industry association,2863,National Cannabis Industry Association,24724785
NA;https://justfacts.votesmart.org/interest-group/2863/national-cannabis-industry-association,national cannabis industry association,2863,National Cannabis Industry Association,26793289
NA;https://justfacts.votesmart.org/interest-group/2863/national-cannabis-industry-association,national cannabis industry association,2863,National Cannabis Industry Association,47207976
NA;https://justfacts.votesmart.org/interest-group/1789/associated-equipment-distributors,associated equipment distributors,1789,Associated Equipment Distributors,2781623
NA;https://justfacts.votesmart.org/interest-group/1860/women-employed,women employed,1860,Women Employed,27698111
NA;https://justfacts.votesmart.org/interest-group/1860/women-employed,women employed,1860,Women Employed,3250088
NA;https://justfacts.votesmart.org/interest-group/1793/association-of-university-centers-on-disabilities,association of university centers on disabilities,1793,Association Of University Centers On Disabilities,39488654
NA;https://justfacts.votesmart.org/interest-group/2412/conservative-review,conservative review,2412,Texas Conservative Review,44813394
NA;https://justfacts.votesmart.org/interest-group/2559/national-association-of-home-builders,national association of home builders,2559,National Association Of Home Builders,1821
NA;https://justfacts.votesmart.org/interest-group/2485/moms-demand-action-for-gun-sense,moms demand action for gun sense,2485,Moms Demand Action For Gun Sense,27714101
NA;https://justfacts.votesmart.org/interest-group/138/national-association-of-government-contractors,national association of government contractors,138,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/1788/national-lumber-and-building-material-dealers-association,national lumber and building material dealers association,1788,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/1382/americans-for-immigration-control,americans for immigration control,1382,Americans For Immigration Control,5766
NA;https://justfacts.votesmart.org/interest-group/504/national-association-of-manufacturers,national association of manufacturers,504,National Association Of Manufacturers,2553378
NA;https://justfacts.votesmart.org/interest-group/2900/future-now-fund,future now fund,2900,Future Now Fund,44002605
NA;https://justfacts.votesmart.org/interest-group/978/americans-for-democratic-action-ada,americans for democratic action ada,978,Americans For Democratic Action-Ada,4890116
NA;https://justfacts.votesmart.org/interest-group/978/americans-for-democratic-action-ada,americans for democratic action ada,978,Americans For Democratic Action-Ada St Louis Chapter,4916036
NA;https://justfacts.votesmart.org/interest-group/978/americans-for-democratic-action-ada,americans for democratic action ada,978,Americans For Democratic Action-Pac (Ada),39125531
NA;https://justfacts.votesmart.org/interest-group/412/population-action-international,population action international,412,Population Action International,39486085
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,10244597
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,10704656
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,11055461
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,11270538
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,16755873
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,1817488
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,2002766
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,20363931
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,24865843
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,37064237
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,38431755
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,38606598
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,44645095
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,7593920
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,8874029
NA;https://justfacts.votesmart.org/interest-group/88/republican-liberty-caucus,republican liberty caucus,88,Republican Liberty Caucus,9954740
NA;https://justfacts.votesmart.org/interest-group/1862/americans-for-fair-taxation,americans for fair taxation,1862,Americans For Fair Taxation,1623608
NA;https://justfacts.votesmart.org/interest-group/1862/americans-for-fair-taxation,americans for fair taxation,1862,Americans For Fair Taxation,37938650
NA;https://justfacts.votesmart.org/interest-group/922/national-parks-conservation-association,national parks conservation association,922,National Parks Conservation Association,8005
NA;https://justfacts.votesmart.org/interest-group/846/people-for-the-american-way,people for the american way,846,People For The American Way,2014
NA;https://justfacts.votesmart.org/interest-group/2086/catholic-advocate,catholic advocate,2086,Catholic Advocate,29423934
NA;https://justfacts.votesmart.org/interest-group/2368/family-policy-alliance,family policy alliance,2368,Family Policy Alliance,41580670
NA;https://justfacts.votesmart.org/interest-group/2368/family-policy-alliance,family policy alliance,2368,Family Policy Alliance,47666354
NA;https://justfacts.votesmart.org/interest-group/2368/family-policy-alliance,family policy alliance,2368,Family Policy Alliance,47721197
NA;https://justfacts.votesmart.org/interest-group/2368/family-policy-alliance,family policy alliance,2368,Family Policy Alliance,47780517
NA;https://justfacts.votesmart.org/interest-group/2368/family-policy-alliance,family policy alliance,2368,Family Policy Alliance,49094509
NA;https://justfacts.votesmart.org/interest-group/2368/family-policy-alliance,family policy alliance,2368,Family Policy Alliance,53410803
NA;https://justfacts.votesmart.org/interest-group/2368/family-policy-alliance,family policy alliance,2368,Family Policy Alliance,54045659
NA;https://justfacts.votesmart.org/interest-group/2819/national-institute-for-reproductive-health-action-fund,national institute for reproductive health action fund,2819,National Institute For Reproductive Health Action Fund Inc,55441311
NA;https://justfacts.votesmart.org/interest-group/2819/national-institute-for-reproductive-health-action-fund,national institute for reproductive health action fund,2819,National Institute For Reproductive Health Action Fund Inc,55443058
NA;https://justfacts.votesmart.org/interest-group/2819/national-institute-for-reproductive-health-action-fund,national institute for reproductive health action fund,2819,National Institute For Reproductive Health Action Fund Inc,55444270
NA;https://justfacts.votesmart.org/interest-group/2819/national-institute-for-reproductive-health-action-fund,national institute for reproductive health action fund,2819,National Institute For Reproductive Health Action Fund Inc,55554529
NA;https://justfacts.votesmart.org/interest-group/149/service-employees-international-union-seiu,service employees international union seiu,149,Service Employees International Union Seiu,54955839
NA;https://justfacts.votesmart.org/interest-group/2647/value-in-electing-women-political-action-committee-view-pac,value in electing women political action committee view pac,2647,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2451/the-evolution-institute,the evolution institute,2451,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2496/capa21,capa21,2496,Capa21-Federal Qualified Multicandidate Committee,52492689
NA;https://justfacts.votesmart.org/interest-group/2496/capa21,capa21,2496,Capa21-Limited,49657215
NA;https://justfacts.votesmart.org/interest-group/1977/goproud,goproud,1977,"Goproud, Inc",39005514
NA;https://justfacts.votesmart.org/interest-group/1977/goproud,goproud,1977,Inc Goproud,44124727
NA;https://justfacts.votesmart.org/interest-group/1777/alliance-for-headache-disorders-advocacy,alliance for headache disorders advocacy,1777,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2058/united-steelworkers,united steelworkers,2058,United Steelworkers,48838589
NA;https://justfacts.votesmart.org/interest-group/2058/united-steelworkers,united steelworkers,2058,United Steelworkers,50165188
NA;https://justfacts.votesmart.org/interest-group/858/american-postal-workers-union,american postal workers union,858,American Postal Workers Union,48532170
NA;https://justfacts.votesmart.org/interest-group/2915/boots-of-recovery,boots of recovery,2915,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2867/leap-forward,leap forward,2867,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/3071/seal-pac,seal pac,3071,Seal Pac,35943043
NA;https://justfacts.votesmart.org/interest-group/2566/the-lugar-center,the lugar center,2566,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/1016/naral-pro-choice-america,naral pro choice america,1016,Naral Pro Choice America,52954768
NA;https://justfacts.votesmart.org/interest-group/3025/american-workers-coalition,american workers coalition,3025,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/1425/americans-for-the-arts-action-fund,americans for the arts action fund,1425,Americans For The Arts Action Fund,43661563
NA;https://justfacts.votesmart.org/interest-group/1420/armenian-national-committee-of-america,armenian national committee of america,1420,Armenian National Committee Of America,39486129
NA;https://justfacts.votesmart.org/interest-group/1420/armenian-national-committee-of-america,armenian national committee of america,1420,Armenian National Committee Of America,44821984
NA;https://justfacts.votesmart.org/interest-group/2183/the-center-for-education-reform,the center for education reform,2183,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/970/usa-engage,usa engage,970,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/463/ufcw-united-food-and-commercial-workers,ufcw united food and commercial workers,463,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/1934/national-latino-congresowilliam-c-velasquez-institute,national latino congresowilliam c velasquez institute,1934,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/1826/environment-america,environment america,1826,Environment America,18928252
NA;https://justfacts.votesmart.org/interest-group/1826/environment-america,environment america,1826,Environment America,32374197
NA;https://justfacts.votesmart.org/interest-group/1826/environment-america,environment america,1826,Environment America,37489211
NA;https://justfacts.votesmart.org/interest-group/1826/environment-america,environment america,1826,Environment America,39525822
NA;https://justfacts.votesmart.org/interest-group/1922/american-hospital-association,american hospital association,1922,American Hospital Association,142
NA;https://justfacts.votesmart.org/interest-group/559/the-american-legion,the american legion,559,The American Legion,39486709
NA;https://justfacts.votesmart.org/interest-group/2418/earthrights-international,earthrights international,2418,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2023/open-doors-usa,open doors usa,2023,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2967/courage-to-change,courage to change,2967,Courage To Change,48007845
NA;https://justfacts.votesmart.org/interest-group/1764/pflag-parents-families-and-friends-of-lesbians-and-gays,pflag parents families and friends of lesbians and gays,1764,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2322/hispanic-federation-lclaa-lulac-mi-familia-vota-nclr-and-voto-latino,hispanic federation lclaa lulac mi familia vota nclr and voto latino,2322,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/1904/catholic-families-usa,catholic families usa,1904,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2704/let-america-vote,let america vote,2704,Let America Vote,43767072
NA;https://justfacts.votesmart.org/interest-group/1971/lgbtq-victory-fund,lgbtq victory fund,1971,Lgbtq Victory Fund,48334566
NA;https://justfacts.votesmart.org/interest-group/1971/lgbtq-victory-fund,lgbtq victory fund,1971,Lgbtq Victory Fund,49745838
NA;https://justfacts.votesmart.org/interest-group/1558/american-road-transportation-builders-association,american road transportation builders association,1558,American Road & Transportation Builders Association,1659108
NA;https://justfacts.votesmart.org/interest-group/1359/campaign-for-americas-future,campaign for americas future,1359,Campaign For Americas Future,470
NA;https://justfacts.votesmart.org/interest-group/2347/progressive-action-pac-congressional-progressive-caucus,progressive action pac congressional progressive caucus,2347,Progressive Action Pac Papac Congressional Progressive Caucus,45132689
NA;https://justfacts.votesmart.org/interest-group/2167/progressive-punch,progressive punch,2167,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2665/blue-america,blue america,2665,Blue America,18928136
NA;https://justfacts.votesmart.org/interest-group/2665/blue-america,blue america,2665,Blue America,27894556
NA;https://justfacts.votesmart.org/interest-group/2665/blue-america,blue america,2665,Blue America,44116424
NA;https://justfacts.votesmart.org/interest-group/2665/blue-america,blue america,2665,Blue America,720516
NA;https://justfacts.votesmart.org/interest-group/319/united-states-womens-chamber-of-commerce,united states womens chamber of commerce,319,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/3121/american-unity-fund,american unity fund,3121,American Unity Fund,27682802
NA;https://justfacts.votesmart.org/interest-group/3121/american-unity-fund,american unity fund,3121,American Unity Fund,31633748
NA;https://justfacts.votesmart.org/interest-group/3121/american-unity-fund,american unity fund,3121,American Unity Fund,39502195
NA;https://justfacts.votesmart.org/interest-group/3121/american-unity-fund,american unity fund,3121,American Unity Fund,41835746
NA;https://justfacts.votesmart.org/interest-group/3121/american-unity-fund,american unity fund,3121,American Unity Fund,43860168
NA;https://justfacts.votesmart.org/interest-group/3121/american-unity-fund,american unity fund,3121,American Unity Fund,55439492
NA;https://justfacts.votesmart.org/interest-group/1703/national-association-for-addiction-professionals-formerly-national-association-of-alcohol-and-drug-abuse-counselors,national association for addiction professionals formerly national association of alcohol and drug abuse counselors,1703,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2025/faith-and-freedom-coalition,faith and freedom coalition,2025,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/1660/united-electrical-radio-and-machine-workers,united electrical radio and machine workers,1660,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/1959/citizens-united-political-victory-fund,citizens united political victory fund,1959,Citizens United Political Victory Fund,28186074
NA;https://justfacts.votesmart.org/interest-group/872/national-taxpayers-union,national taxpayers union,872,National Taxpayers Union,10795115
NA;https://justfacts.votesmart.org/interest-group/872/national-taxpayers-union,national taxpayers union,872,National Taxpayers Union,39177191
NA;https://justfacts.votesmart.org/interest-group/872/national-taxpayers-union,national taxpayers union,872,National Taxpayers Union,43697247
NA;https://justfacts.votesmart.org/interest-group/872/national-taxpayers-union,national taxpayers union,872,National Taxpayers Union,47665207
NA;https://justfacts.votesmart.org/interest-group/872/national-taxpayers-union,national taxpayers union,872,National Taxpayers Union,5126277
NA;https://justfacts.votesmart.org/interest-group/324/american-society-for-the-prevention-of-cruelty-to-animals,american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,47721189
NA;https://justfacts.votesmart.org/interest-group/324/american-society-for-the-prevention-of-cruelty-to-animals,american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,47753874
NA;https://justfacts.votesmart.org/interest-group/324/american-society-for-the-prevention-of-cruelty-to-animals,american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,50033054
NA;https://justfacts.votesmart.org/interest-group/324/american-society-for-the-prevention-of-cruelty-to-animals,american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,53799788
NA;https://justfacts.votesmart.org/interest-group/324/american-society-for-the-prevention-of-cruelty-to-animals,american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,54822925
NA;https://justfacts.votesmart.org/interest-group/324/american-society-for-the-prevention-of-cruelty-to-animals,american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,54917054
NA;https://justfacts.votesmart.org/interest-group/324/american-society-for-the-prevention-of-cruelty-to-animals,american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,55441608
NA;https://justfacts.votesmart.org/interest-group/324/american-society-for-the-prevention-of-cruelty-to-animals,american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,55443371
NA;https://justfacts.votesmart.org/interest-group/324/american-society-for-the-prevention-of-cruelty-to-animals,american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,55444601
NA;https://justfacts.votesmart.org/interest-group/324/american-society-for-the-prevention-of-cruelty-to-animals,american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,55554822
NA;https://justfacts.votesmart.org/interest-group/324/american-society-for-the-prevention-of-cruelty-to-animals,american society for the prevention of cruelty to animals,324,American Society For The Prevention Of Cruelty To Animals,5760
NA;https://justfacts.votesmart.org/interest-group/2979/off-the-sidelines,off the sidelines,2979,Off The Sidelines,17802067
NA;https://justfacts.votesmart.org/interest-group/2979/off-the-sidelines,off the sidelines,2979,Off The Sidelines,52424118
NA;https://justfacts.votesmart.org/interest-group/2809/national-association-of-wholesale-distributors,national association of wholesale distributors,2809,National Association Of Wholesale-Distributors Pac Naw,46922501
NA;https://justfacts.votesmart.org/interest-group/2809/national-association-of-wholesale-distributors,national association of wholesale distributors,2809,National Association Of Wholesaler-Distributors,1826
NA;https://justfacts.votesmart.org/interest-group/2809/national-association-of-wholesale-distributors,national association of wholesale distributors,2809,National Association Of Wholesaler-Distributors Pa,44183666
NA;https://justfacts.votesmart.org/interest-group/2809/national-association-of-wholesale-distributors,national association of wholesale distributors,2809,National Association Of Wholesaler-Distributors Politial Action Committee,48914270
NA;https://justfacts.votesmart.org/interest-group/2809/national-association-of-wholesale-distributors,national association of wholesale distributors,2809,National Association Of Wholesaler-Distributors Political Ac,45120328
NA;https://justfacts.votesmart.org/interest-group/2809/national-association-of-wholesale-distributors,national association of wholesale distributors,2809,Naw Pac-National Association Of Wholesaler-Distributors,45560625
NA;https://justfacts.votesmart.org/interest-group/1831/american-society-for-radiation-oncology,american society for radiation oncology,1831,American Society For Radiation Oncology Pac Aka Astro Pac,24769141
NA;https://justfacts.votesmart.org/interest-group/1831/american-society-for-radiation-oncology,american society for radiation oncology,1831,American Society For Radiation Oncology Pac Astropac,48010062
NA;https://justfacts.votesmart.org/interest-group/1831/american-society-for-radiation-oncology,american society for radiation oncology,1831,American Society For Radiation Oncology Pac Castro,45247991
NA;https://justfacts.votesmart.org/interest-group/1831/american-society-for-radiation-oncology,american society for radiation oncology,1831,American Society For Radiation Oncology Political Action Committee Aka Astro Pac,26789334
NA;https://justfacts.votesmart.org/interest-group/1831/american-society-for-radiation-oncology,american society for radiation oncology,1831,American Society For Radiation Oncology- Astro Pac,24785844
NA;https://justfacts.votesmart.org/interest-group/1831/american-society-for-radiation-oncology,american society for radiation oncology,1831,American Society For Therapeutic Radiation Oncology,24725512
NA;https://justfacts.votesmart.org/interest-group/1831/american-society-for-radiation-oncology,american society for radiation oncology,1831,Astro American Society For Radiation Oncology Pac Aka Astro Pac,29114885
NA;https://justfacts.votesmart.org/interest-group/933/national-federation-of-independent-business-nfib,national federation of independent business nfib,933,National Federation Of Independent Business Nfib,48115540
NA;https://justfacts.votesmart.org/interest-group/933/national-federation-of-independent-business-nfib,national federation of independent business nfib,933,National Federation Of Independent Business Nfib,54466036
NA;https://justfacts.votesmart.org/interest-group/2346/newdems-action-fund,newdems action fund,2346,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/3110/american-federation-of-musicians,american federation of musicians,3110,American Federation Of Musicians,41695122
NA;https://justfacts.votesmart.org/interest-group/3110/american-federation-of-musicians,american federation of musicians,3110,American Federation Of Musicians,45593585
NA;https://justfacts.votesmart.org/interest-group/471/national-retail-federation-nrf,national retail federation nrf,471,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/2024/national-religious-campaign-against-torture-action-fund,national religious campaign against torture action fund,2024,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/1672/citizens-for-tax-justice,citizens for tax justice,1672,Citizens For Tax Justice,39487925
NA;https://justfacts.votesmart.org/interest-group/329/citizens-for-global-solutions,citizens for global solutions,329,Citizens For Global Solutions,3562456
NA;https://justfacts.votesmart.org/interest-group/2340/rightnow-women-pac,rightnow women pac,2340,TimeoutException,TimeoutException
NA;https://justfacts.votesmart.org/interest-group/1937/emergency-committee-for-american-trade,emergency committee for american trade,1937,Emergency Committee For American Trade,39487660
NA;https://justfacts.votesmart.org/interest-group/1015/national-education-association,national education association,1015,National Education Association,1834
NA;https://justfacts.votesmart.org/interest-group/373/american-college-of-emergency-physicians,american college of emergency physicians,373,American College Of Emergency Physicians,119
NA;https://justfacts.votesmart.org/interest-group/373/american-college-of-emergency-physicians,american college of emergency physicians,373,American College Of Emergency Physicians,27623223
NA;https://justfacts.votesmart.org/interest-group/373/american-college-of-emergency-physicians,american college of emergency physicians,373,American College Of Emergency Physicians,27631674
